ID,Name in English,Degree of endangerment,Countries,Number of speakers,country_count,naive_speakers_per_country
799,Tillamook,Extinct,United States of America,0.0,1,0.0
1738,Togoyo,Extinct,Sudan,0.0,1,0.0
16,Tonjon,Extinct,Côte d'Ivoire,0.0,1,0.0
1815,Torá,Extinct,Brazil,0.0,1,0.0
2400,Tsetsaut,Extinct,Canada,0.0,1,0.0
1534,Tunica,Extinct,United States of America,0.0,1,0.0
778,Tututni,Extinct,United States of America,0.0,1,0.0
794,Twana,Extinct,United States of America,0.0,1,0.0
1314,Sei,Extinct,Sierra Leone,0.0,1,0.0
1291,Sened,Extinct,Tunisia,0.0,1,0.0
558,Sengmai,Extinct,India,0.0,1,0.0
866,Serrano,Extinct,United States of America,0.0,1,0.0
2621,Seru,Extinct,Malaysia,0.0,1,0.0
689,Seward Peninsula Inupiaq (Big Diomede Island),Extinct,Russian Federation,0.0,1,0.0
108,Singa,Extinct,Uganda,0.0,1,0.0
2049,Siraiya,Extinct,China,0.0,1,0.0
2161,Sishee,Extinct,New Caledonia (France),0.0,1,0.0
806,Siuslaw,Extinct,United States of America,0.0,1,0.0
413,Slovincian,Extinct,Poland,0.0,1,0.0
832,Southeastern Pomo,Extinct,United States of America,0.0,1,0.0
499,Southern Kamchadal,Extinct,Russian Federation,0.0,1,0.0
677,Southern Khanty,Extinct,Russian Federation,0.0,1,0.0
678,Southern Mansi,Extinct,Russian Federation,0.0,1,0.0
1449,Soyot,Extinct,Russian Federation,0.0,1,0.0
1811,Umutina,Extinct,Brazil,0.0,1,0.0
1444,!Gan!ne,Extinct,South Africa,0.0,1,0.0
116,Aasax,Extinct,United Republic of Tanzania,0.0,1,0.0
429,Ahom,Extinct,India,0.0,1,0.0
486,Ainu (Kuril),Extinct,Russian Federation,0.0,1,0.0
494,Ainu (Sakhalin),Extinct,Russian Federation,0.0,1,0.0
329,Akkala Saami,Extinct,Russian Federation,0.0,1,0.0
1342,Alderney French,Extinct,United Kingdom of Great Britain and Northern Ireland,0.0,1,0.0
1658,Amanayé,Extinct,Brazil,0.0,1,0.0
756,Andoa (Ecuador),Extinct,Ecuador,0.0,1,0.0
513,Andro,Extinct,India,0.0,1,0.0
838,Antoniano,Extinct,United States of America,0.0,1,0.0
2141,Aore,Extinct,Vanuatu,0.0,1,0.0
569,Apolista,Extinct,Bolivia (Plurinational State of),0.0,1,0.0
1454,Arapaho (Oklahoma),Extinct,United States of America,0.0,1,0.0
1629,Arapáso,Extinct,Brazil,0.0,1,0.0
2658,Aribwatsa,Extinct,Papua New Guinea,0.0,1,0.0
1611,Arin,Extinct,Russian Federation,0.0,1,0.0
465,Arman,Extinct,Russian Federation,0.0,1,0.0
2170,Arta,Extinct,Philippines,0.0,1,0.0
573,Atacameño,Extinct,"Argentina, Bolivia (Plurinational State of), Chile",0.0,3,0.0
830,Atsugewi,Extinct,United States of America,0.0,1,0.0
2042,Babuza,Extinct,China,0.0,1,0.0
170,Badala,Critically endangered,Australia,0.0,1,0.0
12,Baga Kalem,Extinct,Guinea,0.0,1,0.0
9,Baga Mboteni,Critically endangered,Guinea,0.0,1,0.0
855,Barbareño,Extinct,United States of America,0.0,1,0.0
